nem*,version*,license*,copyrights*,end-of-support,dependencies,language,repository,email,URL
resolver,2.6.2,Apache-2.0,,,,Java,,,
resteasy-jaxrs,2.3.10.Final-redhat-1,Apache-2.0,,,,Java,,,
resteasy-multipart-provider,2.3.10.Final-redhat-1,Apache-2.0,,,,Java,,,
resteasy-spring,2.3.10.Final-redhat-1,Apache-2.0,,,,Java,,,
saaj,1.2,CDDL-1.0,,,,Java,,,
sax,2.0,Libreria Java di Base,,,,Java,,,
soap,2.3.1,Libreria Java di Base,,,,Java,,,
spring-aop,3.1.1.RELEASE,Apache-2.0,,,,Java,,,
spring-asm,3.1.1.RELEASE,Apache-2.0,,,,Java,,,
spring-aspects,3.1.1.RELEASE,Apache-2.0,,,,Java,,,
spring-beans,3.1.1.RELEASE,Apache-2.0,,,,Java,,,
spring-context,3.1.1.RELEASE,Apache-2.0,,,,Java,,,
spring-core,3.1.1.RELEASE,Apache-2.0,,,,Java,,,
spring-data-commons-core,1.3.0.RELEASE,Apache-2.0,,,,Java,,,
spring-data-jpa,1.1.0.RELEASE,Apache-2.0,,,,Java,,,
spring-expression,3.1.1.RELEASE,Apache-2.0,,,,Java,,,
spring-jdbc,3.1.1.RELEASE,Apache-2.0,,,,Java,,,
spring-orm,3.1.1.RELEASE,Apache-2.0,,,,Java,,,
spring-security-acl,3.1.0.RELEASE,Apache-2.0,,,,Java,,,
spring-security-config,3.1.0.RELEASE,Apache-2.0,,,,Java,,,
spring-security-core,3.1.0.RELEASE,Apache-2.0,,,,Java,,,
spring-security-taglibs,3.1.0.RELEASE,Apache-2.0,,,,Java,,,
spring-security-web,3.1.0.RELEASE,Apache-2.0,,,,Java,,,
spring-test,3.1.1.RELEASE,Apache-2.0,,,,Java,,,
spring-tx,3.1.1.RELEASE,Apache-2.0,,,,Java,,,
spring-web,3.1.1.RELEASE,Apache-2.0,,,,Java,,,
stax2-api,3.1.1,BSD-2-Clause,,,,Java,,,
svcflow,1.2.1,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI Piemonte,,,Java,,,
token-retry,2.2.0,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI Piemonte,,,Java,,,
token-retry-plugin-axis1.4,2.2.0,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI Piemonte,,,Java,,,
token-retry-plugin-axis2,2.2.0,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI Piemonte,,,Java,,,
token-retry-plugin-cxf,2.2.0,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI Piemonte,,,Java,,,
token-retry-plugin-jboss-eap-4.3,2.2.0,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI Piemonte,,,Java,,,
validation-api,1.0.0.GA-redhat-3,Apache-2.0,,,,Java,,,
wsadp,2.1.0,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI Piemonte,,,Java,,,
wsdl4j,1.5.1,CPL-1.0,,,,Java,,,
xalan,2.3.1,Apache-2.0,,,,Java,,,
xercesImpl,2.0.1,Apache-2.0,,,,Java,,,
xercesImpl,2.6.2,Apache-2.0,,,,Java,,,
xml-apis,2.6.2,Apache-2.0,,,,Java,,,
xmlParserAPIs,2.6.2,Apache-2.0,,,,Java,,,
xsltc,2.3.1,Apache-2.0,,,,Java,,,
xstream,1.3.1,BSD,,,,Java,,,
zxing-core,2.3.0,Apache-2.0,,,,Java,,,
zxing-javase,2.3.0,Apache-2.0,,,,Java,,,
